threads,mem_budget_mb,wall_time_s,user_time_s,sys_time_s,mem_used_kb,exit_code,trial
1,64,16.24,2.17,0.64,25920,0,1
1,64,2.55,2.01,0.50,29600,0,2
1,64,2.48,1.97,0.47,26080,0,3
1,128,2.48,1.96,0.49,25920,0,1
1,128,2.40,1.93,0.44,26080,0,2
1,128,2.36,1.91,0.42,26080,0,3
1,512,2.42,1.92,0.46,30240,0,1
1,512,2.39,1.89,0.47,26080,0,2
1,512,2.39,1.88,0.48,26080,0,3
1,1024,2.37,1.92,0.42,26080,0,1
1,1024,2.33,1.89,0.40,30240,0,2
1,1024,2.34,1.91,0.40,26080,0,3
1,1536,2.36,1.87,0.46,25920,0,1
1,1536,2.42,1.94,0.45,25920,0,2
1,1536,2.36,1.93,0.40,30240,0,3
1,3072,2.46,1.94,0.49,26080,0,1
1,3072,2.33,1.86,0.45,26080,0,2
1,3072,2.51,1.98,0.50,26080,0,3
2,64,1.62,1.73,0.44,26080,0,1
2,64,1.62,1.70,0.47,30240,0,2
2,64,1.59,1.72,0.42,26080,0,3
2,128,1.63,1.68,0.49,26080,0,1
2,128,1.60,1.71,0.44,26080,0,2
2,128,1.62,1.71,0.46,26080,0,3
2,512,1.60,1.73,0.41,26080,0,1
2,512,1.62,1.71,0.45,30240,0,2
2,512,1.60,1.72,0.43,26080,0,3
2,1024,1.56,1.70,0.41,26080,0,1
2,1024,1.62,1.70,0.47,26080,0,2
2,1024,1.59,1.70,0.44,26080,0,3
2,1536,1.62,1.71,0.45,26080,0,1
2,1536,1.60,1.72,0.42,30240,0,2
2,1536,1.55,1.68,0.41,26080,0,3
2,3072,1.56,1.70,0.41,26080,0,1
2,3072,1.56,1.70,0.41,26080,0,2
2,3072,1.56,1.68,0.42,26080,0,3
4,64,1.34,1.76,0.48,26080,0,1
4,64,1.35,1.77,0.49,26080,0,2
4,64,1.29,1.75,0.45,30240,0,3
4,128,1.34,1.76,0.48,26080,0,1
4,128,1.31,1.80,0.45,25920,0,2
4,128,1.35,1.77,0.48,26080,0,3
4,512,1.29,1.78,0.43,26080,0,1
4,512,1.34,1.75,0.50,26080,0,2
4,512,1.28,1.75,0.45,25920,0,3
4,1024,1.32,1.75,0.48,26080,0,1
4,1024,1.28,1.73,0.45,30240,0,2
4,1024,1.33,1.76,0.49,26080,0,3
4,1536,1.30,1.77,0.45,26080,0,1
4,1536,1.27,1.79,0.42,26080,0,2
4,1536,1.34,1.79,0.46,26080,0,3
4,3072,1.37,1.79,0.50,26080,0,1
4,3072,1.30,1.79,0.44,26080,0,2
4,3072,1.35,1.81,0.44,30240,0,3
8,64,1.18,1.98,0.43,26080,0,1
8,64,1.29,2.04,0.54,26080,0,2
8,64,1.25,2.01,0.51,26080,0,3
8,128,1.21,1.98,0.48,26080,0,1
8,128,1.21,2.05,0.42,26080,0,2
8,128,1.27,2.03,0.53,26080,0,3
8,512,1.18,1.97,0.46,30240,0,1
8,512,1.23,2.01,0.49,26080,0,2
8,512,1.20,1.98,0.47,25920,0,3
8,1024,1.26,1.99,0.54,26080,0,1
8,1024,1.22,2.00,0.48,26080,0,2
8,1024,1.27,2.00,0.53,26080,0,3
8,1536,1.25,2.01,0.50,30240,0,1
8,1536,1.27,2.00,0.55,26080,0,2
8,1536,1.21,2.00,0.48,26080,0,3
8,3072,1.15,1.96,0.45,25920,0,1
8,3072,1.29,2.11,0.50,26080,0,2
8,3072,1.21,1.99,0.48,26080,0,3
16,64,1.19,2.37,0.57,26080,0,1
16,64,1.19,2.38,0.54,30240,0,2
