threads,mem_budget_mb,wall_time_s,user_time_s,sys_time_s,mem_used_kb,exit_code,trial
16,64,1.13,2.19,0.51,25920,0,3
16,128,1.07,2.17,0.45,26080,0,1
16,128,1.15,2.23,0.52,25920,0,2
16,128,1.27,2.60,0.60,26080,0,3
16,512,1.11,2.15,0.49,26080,0,1
16,512,1.07,2.19,0.43,26080,0,2
16,512,1.17,2.27,0.53,26080,0,3
16,1024,1.13,2.20,0.49,30080,0,1
16,1024,1.20,2.41,0.52,26080,0,2
16,1024,1.19,2.55,0.49,26080,0,3
16,1536,1.16,2.48,0.46,26080,0,1
16,1536,1.24,2.62,0.53,26080,0,2
16,1536,1.11,2.11,0.52,26080,0,3
16,3072,1.22,2.54,0.54,26080,0,1
16,3072,1.18,2.18,0.60,26080,0,2
16,3072,1.11,2.17,0.48,26080,0,3
20,64,1.19,2.50,0.56,28640,0,1
20,64,1.18,2.48,0.54,26080,0,2
20,64,Fatal glibc error: ../nptl/pthread_mutex_lock.c:95 (__pthread_mutex_cond_lock): assertion failed: mutex->__data.__owner == 0
Command terminated by signal 6
2.24,Fatal glibc error: ../nptl/pthread_mutex_lock.c:95 (__pthread_mutex_cond_lock): assertion failed: mutex->__data.__owner == 0
Command terminated by signal 6
2.14,Fatal glibc error: ../nptl/pthread_mutex_lock.c:95 (__pthread_mutex_cond_lock): assertion failed: mutex->__data.__owner == 0
Command terminated by signal 6
0.53,Fatal glibc error: ../nptl/pthread_mutex_lock.c:95 (__pthread_mutex_cond_lock): assertion failed: mutex->__data.__owner == 0
Command terminated by signal 6
26080,134,3
20,128,1.22,2.37,0.58,25920,0,1
20,128,1.22,2.52,0.57,26080,0,2
20,128,1.17,2.48,0.54,26080,0,3
20,512,1.13,2.45,0.52,26080,0,1
20,512,1.19,2.50,0.56,25920,0,2
20,512,1.17,2.50,0.49,26080,0,3
20,1024,1.11,2.34,0.52,25920,0,1
20,1024,1.15,2.43,0.55,26080,0,2
20,1024,1.14,2.48,0.49,26080,0,3
20,1536,1.19,2.49,0.58,25920,0,1
20,1536,1.17,2.44,0.56,26080,0,2
20,1536,1.13,2.42,0.55,26080,0,3
20,3072,1.08,2.32,0.44,25760,0,1
20,3072,1.12,2.42,0.53,26080,0,2
20,3072,1.19,2.53,0.53,25920,0,3
